question, answer
what was the outcome of the coup d'etat de brumaire?,napoleon became the defacto ruler of france
which battle solidified napoleon's reputation of invincibility?,battle of marengo on 14 june 1800
what was napoleon's title after a decade of war?,consul for life and effective sovereign of the nation
what was napoleon's greatest achievement?,the civil code
when was napoleon proclaimed emperor?,1804
what was the symbolic act during napoleon's coronation?,crowning himself,taking the crown from the pope to show power stemmed from the state and not the church
what was the plan to invade britain,and why was it abandoned?,crossing the english channel,but abandoned when napoleon marched his grand armée into central europe
which battle was known as the 'battle of three emperors'?,battle of austerlitz on 2 december 1805
which countries formed a new coalition against napoleon?,britain,russia,and prussia
which battle did napoleon defeat the prussians?,jena in 1806
which battle did napoleon defeat the russians?,friedland in 1807
where was napoleon born?,ajaccio,corsica
when was napoleon born?,august 15,1769
where did napoleon begin his education?,autun
which school did napoleon attend in brienne?,ecole militaire
when was napoleon commissioned in the artillery?,1785
what event created an atmosphere of opportunity for napoleon?,the french revolution
what was napoleon's decisive role in the siege of toulon?,ousting the british from mainland france
what happened to napoleon after the coup de thermidor?,he fell out of favor and was imprisoned
what event preserved the new government from the parisian mob?,the 'whiff of grapeshot'
who did napoleon marry before his departure for italy?,josephine de beauharnais
what was napoleon's promise to his impoverished army in italy?,honor,glory,and riches
what peace treaty did austria sign after napoleon's victories in italy?,peace of campo formio
where did napoleon go after returning to france?,egypt
what was the significance of the victory at the battle of the pyramids?,french control of cairo
what naval defeat isolated the french expedition from france?,battle of aboukir bay
what did napoleon do after abandoning his army in egypt?,sailed to france
what event led to napoleon becoming the defacto ruler of france?,coup d'etat de brumaire
what battle solidified napoleon's reputation of invincibility?,battle of marengo
what was napoleon's greatest achievement as a statesman?,the civil code
when did napoleon become emperor?,1804
what symbolic act did napoleon perform at his coronation?,crowning himself
what was napoleon's plan to invade britain?,crossing the english channel
what battle did napoleon win against the austrians and russians?,battle of three emperors
what coalition was formed against napoleon after the battle of three emperors?,britain,russia,and prussia
what was napoleon's victory over the prussians in 1806?,battle of jena
what was napoleon's victory over the russians in 1807?,battle of friedland
where was napoleon born?,ajaccio,corsica
when was napoleon born?,15 august 1769
who were napoleon's parents?,carlo and letizia bonaparte
where did napoleon study?,autun,brienne,ecole militaire
what was napoleon's first military appointment?,artillery
when did the french revolution start?,1789
what opportunity did napoleon take advantage of in 1793?,siege of toulon
what happened after the coup de thermidor in 1794?,napoleon fell out of favor and was imprisoned
what event is known as the 'whiff of grapeshot'?,napoleon using artillery to preserve the new government from the parisian mob
who did napoleon marry in 1796?,josephine de beauharnais
where did napoleon campaign in 1796 and 1797?,italy
what battle did napoleon win in egypt?,battle of the pyramids
what happened at the battle of aboukir bay?,french naval defeat isolating the expedition from france
what happened in 1799?,coup d'etat de brumaire,napoleon became the de facto ruler of france
what battle did napoleon win in 1800?,battle of marengo
what was napoleon's new title after the battle of marengo?,consul for life
what did napoleon do to remodel the country's economy and administration?,signed a concordat with the pope,introduced the civil code
what was napoleon proclaimed in 1804?,emperor
what did napoleon do at his coronation?,crowned himself,taking the crown from the pope
what was napoleon's plan to invade britain?,cross the english channel
what happened when napoleon marched into central europe?,captured a large part of the austrian army at ulm,crossed the danube to face the remaining austrians and the russians at austerlitz
what was the result of the battle of austerlitz?,decisive victory for napoleon,known as the 'battle of three emperors'
what new coalition was formed against napoleon?,britain,russia and prussia
what battles did napoleon win in 1806 and 1807?,jena (against prussia),friedland (against russia)
who was napoleon?,napoleon was born in ajaccio,corsica,on 15 august 1769
where did napoleon begin his education?,napoleon began his education at autun in 1778
what military group was napoleon commissioned into in 1785?,napoleon was commissioned into the artillery in 1785
what major event occurred in france in 1789?,the french revolution broke out in 1789
what was the significance of the siege of toulon in 1793?,napoleon was promoted to brigadier general for his decisive part in the siege of toulon,which ousted the british from mainland france
what was the name of the new government that napoleon preserved from the parisian mob with artillery fire?,the new government that napoleon preserved from the parisian mob with artillery fire was the directory
who did napoleon marry before his departure for italy?,napoleon married josephine de beauharnais on 9 march 1796
what did napoleon promise his impoverished army in italy?,napoleon promised his impoverished army in italy 'honor,glory,and riches'
what was the result of napoleon's campaigns in italy in 1796 and 1797?,napoleon's campaigns in italy in 1796 and 1797 resulted in austria signing the peace of campo formio
what was napoleon's destination after returning to france?,napoleon was given charge of an expedition to egypt
what was the significance of the battle of the pyramids?,the victory at the battle of the pyramids gave french control of cairo
what was the significance of the naval defeat at aboukir bay?,the naval defeat at aboukir bay isolated the french expedition from france
why did napoleon abandon his army in egypt?,napoleon abandoned his army in egypt after unsuccessful campaigning in syria
what was the name of the government that napoleon became the de facto ruler of in 1799?,napoleon became the de facto ruler of france following the coup d'etat de brumaire
what was napoleon's strategy for defeating the austrians and russians in 1805?,napoleon captured a large part of the austrian army at ulm,then crossed the danube to face the remaining austrians and the russians at austerlitz
what was the result of the battle of austerlitz?,the result of the battle of austerlitz was a decisive victory for napoleon,known as the 'battle of three emperors'
what did napoleon do after austria sued for peace?,napoleon defeated the prussians at jena in 1806,and the russians at friedland in 1807
what was the significance of the concordat with the pope in 1801?,the concordat with the pope in 1801 restored religion to france
what was napoleon's greatest achievement?,napoleon's greatest achievement was the civil code,which in part is still used today
when was napoleon proclaimed emperor?,napoleon was proclaimed emperor in 1804
what was the significance of napoleon's coronation?,napoleon crowned himself,taking the crown from the pope in a symbolic manner to show that power stemmed from the state and not the church
what was napoleon's plan for invading britain?,napoleon planned to invade britain by crossing the english channel
why did napoleon abandon his plan to invade britain?,napoleon abandoned his plan to invade britain when he marched his highly trained grand armee into central europe to meet the converging forces of austria and russia
what was the name of the new policy that napoleon announced?,the continental system
what was the goal of the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade
what country did napoleon send troops to conquer in order to enforce the continental system?,portugal
what did napoleon do after conquering portugal?,he used those same troops to bully the spanish king into abdicating in favor of his brother joseph
what was the name of the coalition that was formed between britain and austria?,the fifth coalition
what was the outcome of the battle of aspern-essling?,napoleon suffered his first clear defeat
what was the outcome of the battle of wagram?,napoleon won a decisive victory
who did napoleon marry after divorcing josephine?,marie louise,the daughter of the austrian emperor
what was the name of napoleon's son with marie louise?,napoleon ii
which countries remained openly contested and embroiled in the 'spanish ulcer'?,spain and portugal
what country broke the agreement of the continental system?,russia
what was the outcome of the battle of borodino?,napoleon occupied moscow but was unable to bring the tsar to terms
what policy did the russians employ that caused the grand armée to disintegrate?,the 'scorched earth' policy
which countries declared war on france after the defeat in russia?,prussia,sweden,and austria
what was the name of the battle where napoleon was decisively defeated?,the battle of the nations
where did napoleon go into exile after abdicating in 1814?,the island of elba
how did napoleon regain his throne in 1815?,he returned to france and staged a bloodless coup
where did napoleon fight the duke of wellington?,waterloo
what was the outcome of the battle of waterloo?,napoleon was decisively defeated
where was napoleon exiled after the battle of waterloo?,the island of saint helena
when did napoleon die?,5 may 1821
where are napoleon's remains currently located?,les invalides in paris
who was at the pinnacle of his career following victories?,napoleon
what was formed between france and russia at tilsit?,a new franco/russian alliance
what was the goal of the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade
what did napoleon do to conquer britain's ally portugal?,he sent troops to conquer portugal and close the port of lisbon
what did napoleon do after conquering portugal?,he used those same troops to bully the spanish king into abdicating in favor of his brother joseph
what was the result of napoleon's campaign in germany in 1809?,the french occupation of vienna
what was napoleon's first clear defeat?,the attempt to cross the danube at aspern-essling
what was the name of the treaty signed after the battle of wagram?,the treaty of schonbrunn
what did napoleon do after divorcing josephine?,he arranged a marriage with the daughter of the austrian emperor
what was the name of napoleon's son?,napoleon ii
what was the name of the war in spain that was a long and difficult struggle for the french?,the spanish ulcer
what caused napoleon's invasion of russia to end in disaster?,the scorched earth policy employed by the russians combined with extreme weather
what did the defeat in russia prompt prussia,sweden,and austria to do?,declare war on france
where was napoleon exiled after his defeat at the battle of the nations?,the island of elba
where did napoleon land when he returned to france in 1815?,france
what was the name of the battle where napoleon was decisively defeated in 1815?,the battle of waterloo
where was napoleon exiled after his defeat at the battle of waterloo?,the island of saint helena
where are napoleon's remains now?,les invalides in paris
who met the tsar of russia at tilsit?,napoleon
what was the goal of the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade.
what happened to the spanish king?,he was forced to abdicate in favor of napoleon's brother joseph.
who formed a coalition with britain in 1809?,austria
what was the outcome of the battle of aspern-essling?,napoleon's first clear defeat
what was the treaty of schonbrunn?,a peace treaty between france and austria
who did napoleon marry?,the daughter of the austrian emperor
what was the name of napoleon's son?,napoleon ii
what happened in the battle of borodino?,napoleon occupied moscow
what was the outcome of the campaign in russia?,disaster for the french army
who declared war on france after the defeat in russia?,prussia,sweden,and austria
what was the outcome of the great battle of nations?,napoleon's decisive defeat
when did napoleon abdicate?,april 1814
where was napoleon exiled after his first abdication?,the island of elba
when did napoleon return to france?,march 1815
what was the outcome of the battle of waterloo?,napoleon's decisive defeat
where was napoleon exiled after his second abdication?,the island of saint helena
when did napoleon die?,5 may 1821
where are napoleon's remains now?,les invalides in paris
why did napoleon meet the tsar of russia?,with a great display of pomp he met the tsar of russia at tilsit to form an alliance.
what was the result of the meeting?,a new franco/russian alliance was born.
what was napoleon's policy of economic warfare?,continental system.
what was the goal of the continental system?,to destroy britain's economic dominance.
why did napoleon send troops to portugal?,to conquer britain's ally portugal and close the port of lisbon.
what was the outcome of napoleon's invasion of portugal?,he used those same troops to bully the spanish king into abdicating in favor of his brother joseph.
what happened after napoleon defeated the spanish and drove the british to the coast?,another coalition was formed between britain and austria.
where did napoleon suffer his first clear defeat?,aspern-essling.
what was the result of the battle of borodino?,napoleon's occupation of moscow.
who employed the scorched earth policy against napoleon?,russians.
what was the consequence of the scorched earth policy?,the grand armée to disintegrate and the campaign ended in disaster.
who declared war on france after the defeat in russia?,prussia,sweden,and austria.
what happened to napoleon after he was defeated at the battle of nations?,he raised another army but was decisively defeated at the great battle of nations.
when did napoleon abdicate and go into exile on the island of elba?,april 1814.
who was restored to the french throne after napoleon's abdication?,bourbon king.
when did napoleon return to france and regain his throne?,march 1815.
where was napoleon defeated at the battle of waterloo?,belgium.
when and where was napoleon exiled after the battle of waterloo?,island of saint helena situated in the south atlantic ocean.
when did napoleon die?,5 may 1821.
where were napoleon's remains buried?,les invalides in paris.
when did napoleon reach the pinnacle of his career?,following these victories.
what new alliance was born after napoleon met the tsar of russia at tilsit?,franco/russian alliance.
what was the goal of napoleon's new policy of economic warfare known as the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade.
what did napoleon do to conquer britain's ally portugal?,he sent troops to conquer britain's ally portugal and close the port of lisbon.
following the success in portugal,what did napoleon do to bully the spanish king?,he used those same troops to bully the spanish king into abdicating in favor of his brother joseph.
what happened after napoleon marched the grand armee to the peninsula?,he defeated the spaniards and drove the british to the coast.
what was formed in 1809,forcing napoleon to return and wage a campaign in germany?,another coalition between britain and austria.
what resulted from the successful battles in germany?,french occupation of vienna.
what was napoleon's first clear defeat?,an attempt to cross the danube at aspern-essling and come to grips with the austrian army led by archduke charles.
what was the outcome of the later crossing?,victory at wagram on 5-6 july 1809 and the signing of the treaty of schonbrunn.
what did napoleon do after his victory at wagram?,he divorced josephine and arranged a marriage with the daughter of the austrian emperor.
what was the name of napoleon's son with the austrian emperor's daughter?,napoleon ii.
what was the name given to the long war in spain and portugal?,the 'spanish ulcer'.
what event caused relations with russia to deteriorate?,the tsar broke with the continental system.
what did napoleon do in response to the deterioration of relations with russia?,he invaded russia with a multinational army of 600,000 men.
what was the outcome of the battle of borodino?,napoleon's occupation of moscow.
what caused napoleon to retreat from moscow?,he was unable to bring the tsar to terms,and was soon forced to retreat.
what caused the grand armee to disintegrate during the retreat from moscow?,the 'scorched earth' policy employed by the russians combined with extreme weather.
what was the outcome of the defeat in russia?,prussia,sweden,and austria declared war on france.
what did napoleon do after being defeated at the great battle of nations?,he raised another army but was decisively defeated at the great battle of nations.
what did napoleon do after being defeated at the great battle of nations?,he fought a last brilliant campaign in france to defend paris.
what happened to napoleon in april 1814?,he abdicated and went into exile on the island of elba.
what happened after napoleon's exile to the island of elba?,the bourbon king was restored to the french throne.
what did napoleon do in march 1815?,he landed in france and regained his throne in a bloodless coup.
what happened after napoleon regained his throne in march 1815?,rather than await another invasion,napoleon surprised allied forces in belgium.
what was the outcome of the battle of waterloo?,napoleon was decisively defeated on 18 june 1815.
where was napoleon exiled after his defeat at waterloo?,the island of saint helena situated in the south atlantic ocean.
when did napoleon die?,5 may 1821.
what happened to napoleon's remains in 1840?,they were removed from saint helena and his body now rests at les invalides in paris.
when was napoleon bonaparte born and when did he die?,(1769-1821).
what other name is napoleon bonaparte known by?,napoleon i.
who met the tsar of russia at tilsit?,napoleon
what was the goal of the continental system?,to destroy britain's economic dominance
what did napoleon do after conquering portugal?,he closed the port of lisbon
who did napoleon bully into abdicating in favor of his brother joseph?,the spanish king
who landed an army in portugal to support the spanish?,britain
where did napoleon defeat the spanish and drive the british to the coast?,in the peninsula
what was the result of the battle of borodino?,napoleon's occupation of moscow
what policy did the russians employ that caused the grand armee to disintegrate?,scorched earth policy
who declared war on france after napoleon's defeat in russia?,prussia,sweden,and austria
where did napoleon go into exile after abdicating?,island of elba
what happened after the allies debated a realignment of the map of europe in vienna?,napoleon planned his return
where did napoleon land in 1815 to regain his throne?,france
who did napoleon fight at waterloo?,the duke of wellington leading an anglo/allied army
where was napoleon exiled after his defeat at waterloo?,island of saint helena
when did napoleon die?,may 5,1821
where were napoleon's remains moved to in 1840?,les invalides in paris
who met the tsar of russia at tilsit?,napoleon
what was the name of the new alliance between france and russia?,franco/russian alliance
what was the goal of the continental system?,to destroy britain's economic dominance
what country did napoleon conquer in pursuit of the continental system?,portugal
who did napoleon install as the king of spain?,his brother joseph
which coalition forced napoleon to return to germany?,britain and austria
what was the name of the battle where napoleon suffered his first clear defeat?,aspern-essling
what was the name of the treaty that ended the war between france and austria in 1809?,treaty of schonbrunn
who did napoleon marry after divorcing josephine?,the daughter of the austrian emperor
what was the name of napoleon's son?,napoleon ii
which countries remained openly contested and embroiled in a long war known as the 'spanish ulcer'?,spain and portugal
when did napoleon invade russia?,1812
what was the name of the battle where napoleon occupied moscow?,battle of borodino
what caused the grand armee to disintegrate during the retreat from russia?,the 'scorched earth' policy employed by the russians combined with extreme weather
which countries declared war on france after the defeat in russia?,prussia,sweden,and austria
where did napoleon go into exile after abdicating in 1814?,the island of elba
when did napoleon return to france from exile?,march 1815
what was the name of the battle where napoleon was decisively defeated in 1815?,waterloo
where was napoleon exiled after the defeat at waterloo?,the island of saint helena
when did napoleon die?,5 may 1821
where are napoleon's remains now?,les invalides in paris
who was at the pinnacle of his career following these victories?,napoleon
what was the new alliance that was born after napoleon met the tsar of russia at tilsit?,franco/russian alliance
what was the policy of economic warfare that napoleon announced after meeting the tsar of russia?,continental system
what was the goal of the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade
what did napoleon do in pursuit of the continental system?,sent troops to conquer britain's ally portugal and close the port of lisbon
what did napoleon do after he conquered portugal?,used those same troops to bully the spanish king into abdicating in favor of his brother joseph.
what happened after napoleon bullied the spanish king into abdicating?,the spanish revolted and britain landed an army in portugal to support them
what did napoleon do after the spanish revolt?,marched the grand armée to the peninsula,defeated the spaniards and drove the british to the coast.
what happened in 1809?,another coalition was formed between britain and austria,forcing napoleon to return and wage a campaign in germany before spain was pacified.
what was the result of the campaign in germany?,successful battles resulted in the french occupation of vienna.
what was napoleon's first clear defeat?,an attempt to cross the danube at aspern-essling and come to grips with the austrian army led by archduke charles.
what led to napoleon's victory at wagram?,a later crossing of the danube
when was the treaty of schonbrunn signed?,5-6 july 1809
who did napoleon reluctantly divorce?,josephine
who did napoleon arrange a marriage with?,the daughter of the austrian emperor
what was the name of napoleon's son?,napoleon ii
what was the name of the war that france fought against spain and portugal?,the 'spanish ulcer'
what happened in 1812?,napoleon invaded russia with a multinational army of 600,000 men.
what was the result of the battle of borodino?,napoleon's occupation of moscow
what caused the grand armée to disintegrate?,the 'scorched earth' policy employed by the russians combined with extreme weather
what prompted prussia,sweden,and austria to declare war on france?,the defeat in russia
what happened after napoleon raised another army?,he was decisively defeated at the great battle of nations.
what did napoleon do after he was defeated at the great battle of nations?,fought a last brilliant campaign in france to defend paris
when did napoleon abdicate?,april 1814
where did napoleon go after he abdicated?,exile on the island of elba
who was restored to the french throne?,the bourbon king
what did napoleon do after he returned to france in 1815?,regained his throne in a bloodless coup
what happened after napoleon regained his throne?,he surprised allied forces in belgium
who did napoleon fight at waterloo?,the duke of wellington leading an anglo/allied army
when was napoleon defeated at waterloo?,june 18,1815
where was napoleon exiled after he was defeated at waterloo?,the island of saint helena
when did napoleon die?,may 5,1821
where were napoleon's remains moved in 1840?,les invalides in paris
during the height of his career,what diplomatic move did napoleon make?,napoleon met the tsar of russia at tilsit and formed a new franco/russian alliance.
what was the purpose of the continental system?,the purpose of the continental system was to destroy britain's economic dominance by closing all continental ports to british trade.
what action did napoleon take to enforce the continental system?,napoleon sent troops to conquer britain's ally portugal and close the port of lisbon.
how did napoleon's attempt to conquer spain unfold?,he used troops to force the spanish king to abdicate in favor of his brother joseph,leading to a revolt by the spanish and the landing of a british army in portugal to support them.
what was the outcome of napoleon's campaign in germany against the coalition of britain and austria?,the campaign resulted in the french occupation of vienna,but napoleon suffered his first clear defeat at aspern-essling.
how did napoleon secure an alliance with austria?,he arranged a marriage with the daughter of the austrian emperor,who bore him a son,napoleon ii.
which countries remained openly contested and embroiled the french army in a long war?,spain and portugal.
what was the main reason for napoleon's invasion of russia?,the tsar broke with the continental system.
what was the outcome of napoleon's invasion of russia?,the invasion ended in disaster,with the grand armée disintegrating and napoleon forced to retreat.
what was the decisive defeat that led to napoleon's abdication?,the battle of the nations.
what happened after napoleon's abdication?,he went into exile on the island of elba,the bourbon king was restored to the french throne,and the allies debated a realignment of the map of europe at the congress of vienna.
how did napoleon regain his throne in 1815?,he landed in france and regained his throne in a bloodless coup.
what was the final battle of napoleon's career?,the battle of waterloo.
where was napoleon exiled after his defeat at waterloo?,the island of saint helena.
when did napoleon bonaparte die?,5 may 1821.
where is napoleon bonaparte's body currently located?,les invalides in paris.
what was napoleon's goal in implementing the continental system?,to destroy britain's economic dominance by closing all continental ports to british trade.
what did napoleon do after conquering portugal?,he used those same troops to bully the spanish king into abdicating in favor of his brother joseph.
